total_net_assets,fund_year3_expense_projection,fund_year5_expense_projection,fund_year10_expense_projection,morningstar_return_rating,load_adj_return_3years,load_adj_return_5years,load_adj_return_10years,sustainability_score,sustainability_rank,esg_score
437883552.0,456.0,787.0,1724.0,1.0,0.0814,0.0878,0.0825,23.68,54.0,23.68
682239680.0,747.0,984.0,1663.0,2.0,0.0683,0.0678,0.0562,22.86,41.0,22.86
682239680.0,572.0,984.0,2136.0,1.0,0.0758,0.069,0.053,22.86,41.0,22.86
682239680.0,266.0,464.0,1035.0,2.0,0.0864,0.0796,0.0634,22.86,41.0,22.86
682239680.0,367.0,637.0,1408.0,2.0,0.0828,0.076,0.0599,22.86,41.0,22.86
682239680.0,464.0,802.0,1757.0,1.0,0.0793,0.0726,0.0566,22.86,41.0,22.86
682239680.0,258.0,449.0,1001.0,2.0,0.0866,0.0799,0.0636,22.86,41.0,22.86
3353266688.0,287.0,498.0,1108.0,4.0,0.0928,0.124,0.1082,24.88,59.0,24.88
3263729920.0,877.0,1135.0,1871.0,4.0,0.218,0.2199,0.1654,21.17,50.0,21.17
4093864704.0,499.0,860.0,1878.0,3.0,0.2345,0.2272,0.1663,21.11,47.0,21.11
731487872.0,645.0,851.0,1444.0,2.0,0.0199,0.0085,0.0164,22.98,17.0,22.98
731487872.0,173.0,316.0,732.0,3.0,0.0365,0.02,0.0238,22.98,17.0,22.98
4093864704.0,247.0,441.0,1000.0,4.0,0.2451,0.2371,0.1738,21.11,47.0,21.11
3263729920.0,268.0,466.0,1037.0,4.0,0.2443,0.2373,0.1755,21.17,50.0,21.17
194308976.0,246.0,428.0,954.0,4.0,0.1076,0.1085,0.093,24.77,88.0,24.77
8761323520.0,622.0,1068.0,2303.0,2.0,0.0885,0.092,0.1047,24.68,55.0,24.68
64842776.0,662.0,1135.0,2247.0,2.0,0.041,0.0693,0.03,22.38,57.0,22.38
731487872.0,161.0,285.0,647.0,3.0,0.0361,0.0197,0.0236,22.98,17.0,22.98
3491247872.0,707.0,1211.0,2403.0,3.0,0.1033,0.1255,0.048,25.07,29.0,25.07
13266500608.0,790.0,969.0,1484.0,4.0,0.0876,0.0974,0.0872,24.72,88.0,24.72
